1;2;3
Przetłumacz zdania na francuski;Traduisez les phrases en français;Appr. continu
Mój szef usiadł obok mnie.;Mon chef s'est assis à côté de moi.;à côté de = obok
Jego młodsza córka ma 12 lat.;Sa fille cadette a 12 ans.;cadette = młodsza
Jego starsza córka ma na imię Amélie.;Sa fille aînée s'appelle Amélie.;aînée = starsza
Boli mnie głowa.;J'ai mal à la tête.;avoir mal à...
Spędziłem czas z moją rodziną.;J'ai passé du temps avec ma famille.;passer du temps
Który z dwóch mężczyzn mówi po niemiecku?;Lequel des deux hommes parle allemand ?;lequel = który
To jest wredna osoba!;C'est une peau de vache !;idiom: skóra krowy
To jest tchórz!;C'est une poule mouillée !;idiom: mokra kura
On się popisuje!;Il se la joue !;se la jouer
To jest gaduła!;C'est une grande gueule !;gueule = pysk
